table,primary_key,attr,en,ar,id,fil,vi
zap_profile_questions,1,title,How many members are there in your family?,كم عدد أفراد عائلتك؟,Berapa banyak anggota keluarga Anda?,Ilan ang miyembro ng iyong pamilya?,Gia đình bạn có mấy người
zap_profile_questions,2,title,What is your primary mode of commute?,ما هي وسيلتك الرئيسية للتنقل؟,Apa mode perjalanan utama Anda?,Ano ang iyong pangunahing paraan ng paglalakbay?,Dạng đi lại của bạn hàng ngày chủ yếu là gì?
zap_profile_questions,3,title,How many car do you have in your family currently?,كم سيارة لديك في العائلة حاليا؟,Berapa banyak mobil yang Anda miliki di keluarga Anda saat ini?,Ilang kotse ang pagmamay-ari ng iyong pamilya?,Hiện gia đình bạn có mấy chiếc xe?
zap_profile_questions,4,title,Occupation,الاحتلال,Pekerjaan,Trabaho,Nghề nghiệp
zap_profile_questions,5,title,What is your annual household income?,ما هو دخل الأسرة السنوي الخاص بك؟,Berapa pendapatan tahunan rumah tangga Anda?,Ano ang taunang kita ng iyong pamilya?,Thu nhập hàng năm của gia đình bạn là bao nhiêu?
zap_profile_questions,6,title,Why did you choose ZAP Subscribe?,لماذا اخترت برنامج ZAP Subscribe؟,Mengapa Anda memilih Berlangganan ZAP?,Bakit mo pinili ang ZAP Subscribe?,Tại sao bạn chọn đăng ký ZAP?
zap_profile_questions,7,title,How often will you share your car on zoomcar platform?,كم مرة ستشارك سيارتك على منصة zoomcar؟,Seberapa sering Anda akan membagikan mobil Anda di platform zoomcar?,Gaano kadalas mong ibabahagi ang iyong kotse sa zoomcar platform?,Bạn thường cho thuê xe hơi trên nền tảng zoomcar với tần suất thế nào?
zap_profile_questions,8,title,How did you like this website?,هل اعجبت بهذا الموقع؟,Bagaimana Anda menyukai situs web ini?,Nagusuthan mo ba ang website na ito?,Bạn thích trang web này thế nào?
zap_profile_questions,9,title,How did you come to know about us?,كيف علمت بنا؟,Bagaimana Anda bisa tahu tentang kami?,Paano mo kami nalaman?,Bạn đã biết gì về nó?
zap_profile_questions,10,title,How can we make ZAP subscribe even better?,كيف يمكننا جعل اشتراكك مع ZAP Subscribe أفضل؟,Bagaimana kami dapat membuat berlangganan ZAP lebih baik?,Paano namin mas mapapahusay ang ZAP subscribe?,Làm thế nào chúng tôi cải thiện ZAP?
zap_profile_questions,14,title,What's your purpose of Subscribing?,ما هو هدفك من الاشتراك؟,Apa tujuan Anda Berlangganan?,Ano ang dahilan ng iyong pag-subscribe?,Mục đích đăng ký của bạn là gì?
zap_profile_questions,15,title,How many days will you be driving in a month?,كم يوما سوف تقود سيارتك في الشهر؟,Berapa hari Anda akan mengemudi dalam sebulan?,Ilang araw kang magmamaneho sa isang buwan?,Mỗi tháng bạn lái xe mấy ngày?
zap_profile_questions,16,title,What is your marital status?,ما هو وضعك العائلي؟,Apa status perkawinan Anda?,Ano ang iyong estado?,Tình trạng hôn nhân của bạn thế nào?
zap_profile_questions,17,title,You preferred subscription over buying because it is,انت تفضل الاشتراك على الشراء للأسباب التالية,Anda lebih suka berlangganan daripada membeli karena,Mas gusto mo ang subscription kaysa bumili dahil ito ay,Bạn muốn thuê theo tháng chứ không mua vì
zap_profile_questions,18,title,Which of the following do you already possess?,أي مما يلي تمتلكه بالفعل؟,Manakah dari berikut ini yang Anda sudah miliki?,Alin sa mga sumusunod ang mayroon ka na?,Bạn đã sở hữu những gì sau đây?
zap_profile_questions,19,title,What other options did you look before subscribing?,ما هي الخيارات الأخرى التي نظرت اليها قبل الاشتراك؟,Opsi apa lagi yang Anda lihat sebelum berlangganan?,Ano ang iba pang opsyon na iyong tiningnan bago mag-subscribe? ,Bạn đã xem xét những phương án nào trước khi đăng ký thuê bao?
zap_profile_questions,20,title,Anniversary date?,تاريخ الذكرى السنوية؟,Tanggal Ulang Tahun Pernikahan?,Petsa ng Anibersaryo?,Ngày kỷ niệm?
zap_profile_questions,1,details,Will help us suggest better things for you!,سوف يساعدنا في اقتراح أشياء أفضل لك!,Akan membantu kami menyarankan hal-hal yang lebih baik untuk Anda!,Tutulong sa amin na gumawa ng mas mahusay para sa iyo!,Liệu bạn có giúp chúng tôi cải thiện những điều này cho bạn
zap_profile_questions,2,details,We know we upgraded your mobility choice,نحن نعلم أننا قمنا بترقية خيار التنقل الخاص بك,Kami tahu kami telah meningkatkan pilihan mobilitas Anda,Alam namin na ang in-upgrade namin ang iyong pinili sa mobility,Chúng tôi biết mình đã nâng cấp lựa chọn đi lại của bạn
zap_profile_questions,3,details,Glad that you chose ZAP subscribe,نحن سعيدين لأنك اخترت الاشتراك مع ZAP Subscribe,Kami senang Anda memilih berlangganan ZAP,Masaya na pinili mo ang ZAP subscribe,Rất vui bạn đã đăng ký ZAP
zap_profile_questions,4,details,We know wthat you are rockstar in what you do,نحن نعلم أنك مثل نجوم موسيقى الروك فيما تفعل,Kami tahu bahwa Anda adalah bintang dalam apa yang Anda lakukan,Alamin na ikaw ay isang rockstar in what you dosa ginagawa mo,Chúng tôi biết bạn rất giỏi những việc mình làm
zap_profile_questions,5,details,"Don't worry, your information is safe",لا تقلق ، معلوماتك آمنة,"Jangan khawatir, informasi Anda aman","Huwag mag-alala, litas ang iyong impormasyon","Đừng lo, thông tin của bạn an toàn"
zap_profile_questions,6,details,Tell us more about your choice,أخبرنا المزيد عن اختياراتك,Beri tahu kami lebih banyak tentang pilihan Anda,Sabihn mo pa sa amin ang iyong napili,Hãy nói thêm về sự lựa chọn của bạn
zap_profile_questions,7,details,Sharing is caring and easy on pocket,المشاركة تأمن لك الرعاية واييست مرتفعة القيمة,Berbagi itu peduli dan mudah di kantong,Sharing is caring and easy on pocket,Chia sẻ tức là quan tâm và tiện cho tài chính của bạn
zap_profile_questions,9,details,We would like to know if you liked us the first time you saw us,نود معرفة ما إذا كنت قد أحببتنا في المرة الأولى التي رأيتنا فيها,Kami ingin tahu apakah Anda menyukai kami saat pertama kali melihat kami,Gusto namin na gusto mo kami sa unang beses na nakita mo kami if you liked us the first time you saw us,Chúng tôi muốn biết liệu bạn có thích chúng tôi ngày từ khi biết đến chúng tôi không
zap_profile_questions,10,details,Your honest response will help the program nd effectively the subscribe community,ستساعد استجابتك الصادقة البرنامج على نحو فعال في مجتمع المشتركين,Tanggapan jujur Anda akan membantu program dan komunitas berlangganan secara efektif,Ang iyong tapat na tugon ay makakatulong sa programa at epektibo sa komunidad ng subscribe,Phản hồi chân thành của bạn sẽ giúp chương trình hiệu quả hơn
zap_profile_questions,17,details,Tell us the reason you love Zoomcar Subscription,أخبرنا عن سبب إعجابك باشتراك Zoomcar,Beri tahu kami alasan Anda menyukai Berlangganan Zoomcar,Sabihin mo sa amin ang dahilan bakit gusto mo ang Subscription sa Zoomcar,Hãy nói với chúng tôi lý do bạn chon Zoomcar
zap_profile_questions,19,details,Tell us more about choices,أخبرنا بالمزيد من الخيارات,Beri tahu kami lebih banyak tentang berbagai pilihan,Sabihn mo sa amin ang mga mapaagpipilian,Hãy nói thêm với chúng tôi về những lựa chọn của bạn
zap_profile_questions,1,options,"[""0 to 2"", ""3 to 4"", ""5 to 6"", ""more than 6""]","[0 إلى 2 ، ""3 إلى 4"" ، ""5 إلى 6"" ، ""أكثر من 6""]","[""0 hingga 2"", ""3 hingga 4"", ""5 hingga 6"", ""lebih dari 6""]","[""0 hanggang 2"", ""3 hanggang  4"", ""5 hanggang  6"", ""Higit sa 6""]","[""0 đến 2"", ""3 đến 4"", ""5 đến 6"", ""hơn 6""]"
zap_profile_questions,2,options,"[""Cabs"", ""Public transport"", ""My own car"", ""My own 2 wheeler"", ""Car Sharing"", ""Office Shuttle""]","[سيارات الأجرة ، ""النقل العام"" ، ""سيارتي الخاصة"" ، ""سيارتي الخاصة ذات العجلتين"" ، ""مشاركة السيارة"" ، ""مكوك شتل المكتب""]","[""Taksi"", ""Transportasi umum"", ""Mobil saya sendiri"", ""Roda 2 saya sendiri"", ""Berbagi Mobil"", ""Antar-jemput Kantor""]","[""Cab"", ""Pampublikong transportasyon"", ""Aking sariling kotse"", ""Aking sariling 2 wheeler"", ""Pagsasalo ng kotse"", ""Shuttle sa ""]","[""Xe taxi"", ""Phương tiện công công"", ""Xe riêng của tôi"", ""Xe 2 bánh của tôi"", ""Dùng chung xe"", ""Xe đưa đón của công ty""]"
zap_profile_questions,3,options,"[""ZAP Subscribe is your first car"", ""Already own a car"", ""Well, I have two cars currently""]","[""اشتراك ZAP Subscribe هو سيارتك الأولى"" ، ""أنا أمتلك سيارة بالفعل"" ، ""حسنًا ، لدي سيارتان حاليًا""]","[""ZAP Berlangganan adalah mobil pertama Anda"", ""Sudah memiliki mobil"", ""Ya, saya punya dua mobil saat ini""]","[""ZAP Subscribe ang iyong isang kotse"", ""Mayroon ka nang kotse"", ""Sa kasalukuyang kami ay may dalawang kotse""]","[""ZAP là chiếc xe đầu tiên của bạn"", ""Đã sở hữu xe"", ""À, tôi hiện đang có hai chiếc xe hơi""]"
zap_profile_questions,4,options,"[""Student"", ""Salaried Professional"", ""Business"", ""Doctor"", ""Self Employed"", ""Others""]","[""طالب"" ، ""محترف ذو راتب"" ، ""رجل أعمال"" ، ""دكتور"" ، ""أعمل لصالح نفسي"" ، ""غير ذلك""]","[""Mahasiswa"", ""Profesional Bergaji"", ""Bisnis"", ""Dokter"", ""Wiraswasta"", ""Lainnya""]","[""Estduyante"", ""Kumikitang Propesyonal"", ""Negosyo"", ""Doctor"", ""Self Employed"", ""Iba pa""]","[""Sinh viên"", ""Giáo sư được trả lương"", ""Doanh nhân"", ""Bác sĩ"", ""Nghê tự do"", ""Khác""]"
zap_profile_questions,5,options,"[""Up to 5 Lakhs"", ""6 - 10 Lakhs"", ""11 - 15 Lakhs"", ""Greater than 15 Lakhs""]","[""ما يصل إلى 5 لاكس"" ، ""6-10 لاكس"" ، ""11-15 لاكس"" ، ""أكبر من 15 لاكس""]","[""Hingga 5 Lakh"", ""6 - 10 Lakh"", ""11 - 15 Lakh"", ""Lebih dari 15 Lakh""]","[""Hanggang 5 Lakhs"", ""6 - 10 Lakhs"", ""11 - 15 Lakhs"", ""Higit sa 15 Lakhs""]","[""Tối đa 5 Lakhs"", ""6 - 10 Lakhs"", ""11 - 15 Lakhs"", ""Hơn 15 Lakhs""]"
zap_profile_questions,6,options,"[""Just wanted to try car subscription as an experiment"",""Subscribing is within my budget"",""Subscribing is hassle-free"",""I am in the city for short-term"",""I subscribed for my spouse"",""Others""]","[""أردت فقط تجربة اشتراك السيارة للتجربة"",""الاشتراك يقع في حدود ميزانيتي"",""الاشتراك خالي من المتاعب"",""أنا في المدينة لفترة قصيرة"",""لقد اشتركت من أجل زوجتي"",""أسباب أخرى""]","[""Hanya ingin mencoba berlangganan mobil sebagai percobaan"",""Berlangganan sesuai anggaran saya"",""Berlangganan itu tidak repot"",""Saya di kota ini untuk jangka pendek"",""Saya berlangganan untuk pasangan saya"",""Lainnya""]","[""Gusto subukan ang subscription sa kotse bilang experiemento"",""Ang pag-subscribe ay nasa badyet ko"",""Ang pag-subscribe ay walang problema"",""Ako ay nasa lungsod sa maikling panahon."",""Nagsubscribe ako para sa aking asawa"",""Iba pa""]","[""Chỉ muốn thử thuê xe để trải nghiệm"",""Việc thuê xe phù hợp tài chính của tôi"",""Đăng ký đơn giản"",""Tôi ở thành phố này trong một khoảng thời gian ngắn"",""Tôi đăng ký cho vợ/chồng"",""Khác""]"
zap_profile_questions,7,options,"[""0"",""1 - 10 days"",""11 - 15 days"",""16 - 20 days"",""21 - 30 days"",""Full month""]","[""0"",""1 - 10 أيام"" ، ""11 - 15 يومًا"" ، ""16 - 20 يومًا"" ، ""21 - 30 يومًا"" ، ""شهر كامل""]","[""0"",""1 - 10 hari"", ""11 - 15 hari"", ""16 - 20 hari"", ""21 - 30 hari"", ""Sebulan penuh""]","[""0"",""1 - 10 araw"",""11 - 15 araw"",""16 - 20 araw"",""21 - 30 araw"",""Isang buong buwan""]","[""0"",""1 - 10 ngày"",""11 - 15 ngày"",""16 - 20 ngày"",""21 - 30 ngày"",""Trọn tháng""]"
zap_profile_questions,8,options,"[""Very good"", ""Good"", ""Average"", ""Bad"", ""Very bad""]","[""جيد جدًا"" ، ""جيد"" ، ""متوسط"" ، ""سيء"" ، ""سيء جدًا""]","[""Sangat baik"", ""Bagus"", ""Sedang"", ""Buruk"", ""Sangat buruk""]","[""Napakahusay"", ""Mabuti"", ""Katamtaman"", ""Masaya"", ""Sa kasalukuyan""]","[""Rất tốt"", ""Tốt"", ""Trung bình"", ""Tệ"", ""Rất tệ""]"
zap_profile_questions,9,options,"[""Youtube"", ""Facebook"", ""TV Commercial"", ""Word of Mouth"",""Others""]","[""يوتيوب"" ، ""فيسبوك"" ، ""إعلان تلفزيوني"" ، ""كلام من الفم"",""أسباب أخرى""]","[""Youtube"", ""Facebook"", ""Iklan TV"", ""Dari Mulut ke Mulut"",""Lainnya""]","[""Youtube"", ""Facebook"", ""Komersyal sa TV "", ""Usap-usapan"",""Iba pa""]","[""Youtube"", ""Facebook"", ""TV Commercial"", ""Truyền miệng"",""Khác""]"
zap_profile_questions,10,options,"[""Lower the monthly subscription cost"",""Allow test drive of the car before subscription starts"",""Allow change of cars between subscription"",""Allow to purchase the cars after subscription ends"",""Others""]","[""خفض تكلفة الاشتراك الشهري"",""السماح باختبار قيادة السيارة قبل بدء الاشتراك "",""السماح بتغيير السيارات بين الاشتراكات"",السماح بشراء السيارات بعد انتهاء الاشتراك"",""أسباب أخرى""]","[""Turunkan biaya berlangganan bulanan"",""Izinkan test drive mobil sebelum langganan dimulai"",""Izinkan pergantian mobil di antara langganan"",""Izinkan untuk membeli mobilnya setelah langganan berakhir"",""Lainnya""]","[""Ibaba ang gastos sa buwanang subscription"",""Pahintulutan ang test drive ng kotse bago magsimula ng subscription"",""Pahintulutan ang pagbabago ng kotse sa pagitan ng subscription"",""Pahintulutan ang pagbili ng mga kotse pagkatapos ng aking subscription"",""Iba pa""]","[""Thấp hơn chi phí thuê hàng tháng"",""Cho phép lái thử xe trước khi bắt đầu thuê"",""Cho phép đổi xe giữa các lần đăng ký"",""Cho phép mua xe sau khi đã hết đăng ký"",""Khác""]"
zap_profile_questions,14,options,"[""Visiting Family"",""Medical Use"",""Office Purpose"",""Intercity Travel"",""No public Transport Available"",""Personal Use""]","[""زيارة الأسرة"" ، ""الاستخدام الطبي"" ، ""الغرض من المكتب"" ، ""السفر بين المدن"",""لا توجد مواصلات عامة متاحة"" ، ""استخدام شخصي""]","[""Mengunjungi Keluarga"", ""Penggunaan Medis"", ""Tujuan Kantor"", ""Perjalanan Antar Kota"",""Transportasi Umum tidak tersedia"", ""Penggunaan Pribadi""]","[""Pagbisita sa Pamilya"",""Gamit Medikal"",""Kailangan sa Opisina"",""Biyahe sa pagitan ng mga Lungsod"",""Walang mahanap na pampublikong transportasyon"",""Personal na gamit""]","[""Thăm gia đình"",""Sử dụng cho y tế"",""Sử dụng cho văn phòng"",""Đi lại giữa các thành phố"",""Không có sẵn giao thông công cộng"",""Sử dụng cá nhân""]"
zap_profile_questions,15,options,"[""Full month"",""Weekends only"",""Weekdays only"",""Not Sure""""Others""]","[""شهر كامل"" ، ""عطلات نهاية الأسبوع فقط"" ، ""أيام الأسبوع فقط"" ، ""لست متأكدًا"",""أسباب أخرى""]","[""Sebulan penuh"", ""Hanya akhir pekan"", ""Hanya hari kerja"", ""Tidak yakin"",""Lainnya""]","[""Buong buwan"",""Katapusan ng linggo lang"",""Araw ng linggo lang"",""hindi sigurado"",""Iba pa""]","[""Tròn tháng"",""Chỉ những cuối tuần"",""Chỉ ngày trong tuần"",""Không chắc"",""Khác""]"
zap_profile_questions,16,options,"[""Single"", ""Married"",""Others""]","[""أعزب"" ، ""متزوج"",""أسباب أخرى""]","[""Lajang"", ""Menikah"",""Lainnya""]","[""Binata/Dalaga"", ""May Asawa"",""Iba pa""]","[""Độc thân"", ""Kết hôn"",""Khác""]"
zap_profile_questions,17,options,"[""Easy on budget"",""Short term commitment"",""Wide selection"",""Aspiration to possess car"",""No Service"",""maintenance & insurance"",""Short term need"",""Try different Cars""]","[""سهل على الميزانية"",""التزام قصير الأجل"",""تشكيلة واسعة"",""التطلع لامتلاك سيارة"",""لاتوجد خدمة"",""الصيانة والتأمين"",""الاحتياج على المدى القصير"",""قم بتجربة سيارات مختلفة""]","[""Mudah dalam anggaran"",""Komitmen jangka pendek"",""Banyak pilihan"",""Cita-cita punya mobil"",""Tidak Ada Layanan"",""pemeliharaan & asuransi"",""Kebutuhan jangka pendek"",""Coba Mobil yang Berbeda""]","[""Magaang sa badyet"",""Maiksing Panahon na Paggamit"",""Maraming mapagpipilian"",""Pangarap magkaroon ng kotse"",""Walang Serbisyo"",""pagpapanatili & seguro"",""Maiksing Panahon na Kailangan"",""Sumubok ng ibang Kotse""]","[""Vừa túi tiền"",""Cam kết ngắn hạn"",""Nhiều lựa chọn"",""Có hứng thú sở hữu một chiếc xe"",""Không có dịch vụ"",""Bảo trì & Bảo hiểm"",""Nhu cầu ngắn hạn"",""Thử các xe khác""]"
zap_profile_questions,18,options,"[""Car"", ""Two Wheeler "", ""Microwave"", ""TV"", ""Washing Machine""]","[""سيارة""، ""عربة بعجلتين""، ""ميكرويف""، ""تلفزيون""، ""غسالة""]","[""Mobil"", ""Roda Dua"", ""Microwave"", ""TV"", ""Mesin Cuci""]","[""Kotse"", ""Dalawang Gulong "", ""Microwave"", ""TV"", ""Washing Machine""]","[""Xe hơi"", ""Xe hai bánh"", ""Lò vi sóng"", ""TV"", ""Máy giặt""]"
zap_profile_questions,19,options,"[""Buy new car"", ""Buy Used car"", ""Other subscription models"", ""Buy 2 wheeler""]","[""اشتري سيارة جديدة"" ، ""اشتري سيارة مستعملة"" ، ""نماذج اشتراك أخرى"" ، ""اشتري عربة بعجلتين""]","[""Beli mobil baru"", ""Beli mobil bekas"", ""Model langganan lainnya"", ""Beli kendaraan roda 2""]","[""Bumili ng bagong kotse"", ""Bumili ng lumang kotse"", ""Iba pang modelo sa subscription"", ""Bumili ng 2 gulong""]","[""Mua xe mới"", ""Mua xe cũ"", ""Các loại thuê bao khác"", ""Mua xe hai bánh""]"
tags,1051,name,"""Issue with the amount credited""","""مشكلة بالمبلغ الدائن""","""Masalah dengan jumlah yang dikreditkan""","""Isyu sa halaga na naka-credit""","""Có vấn đề với khoản tiền được trừ"""
tags,1052,name,"""Issues with payout statement""","""مشكلات بيان العائد""","""Masalah dengan laporan pembayaran""","""Mga isyu sa pagbabayad""","""Có vấn đề với sao kê tiền trả"""
tags,1053,name,"""Less scope of earnings""","""نطاق أقل للأرباح""","""Cakupan pendapatan yang lebih sedikit""","""Mas kaunting sakop ng kita""","""Ít phạm vi kiếm tiền hơn"""
tags,1054,name,"""Delay in payment""","ا""لتأخير في السداد""","""Keterlambatan pembayaran""","""Pagkaantala ng bayad""","""Trễ thanh toán"""
tags,1055,name,"""Transparency in payout statement""","""الشفافية في بيان الدفع""","""Transparansi dalam laporan pembayaran""","""Pagiging tapat sa pagbabayad""","""Minh bạch trong sao kê tiền trả"""
tags,1056,name,"""Payment status updates""","""تحديثات حالة الدفع""","""Pembaruan status pembayaran""","""Update sa estado ng bayad""","""Cập nhật trạng thái thanh toán"""
tags,1057,name,"""Scope of earnings""","""نطاق الأرباح""","""Cakupan pendapatan yang lebih sedikit""","""Sakop ng kita""","""Phạm vi kiếm thêm"""
tags,1058,name,"""On time payment""","""الدفع في الوقت المحدد""","""Pembayaran tepat waktu""","""Napapanahong bayad""","""Thanh toán đúng giờ"""
tags,1059,name,"""Unsanitized/Unclean car""","""سيارة لم يتم تعقيمها / لم يتم تنظيفها""","""Mobil kotor/tidak bersih""","""Maduming kotse""","""Xe không sạch/không vệ sinh"""
tags,1060,name,"""Late arrivals""","""الوصول في وقت متأخر""","""Kedatangan terlambat""","""Nahuli dumating""","""Đến trễ"""
tags,1061,name,"""Issues with car condition""","""مشاكل في حالة السيارة""","""Masalah dengan kondisi mobil""","""Mga problema sa kondisyon ng kotse""","""Có vấn đề với tình trạng xe"""
tags,1062,name,"""Issues with Listing summary""","""مشاكل مع ملخص القائمة""","""Masalah dengan ringkasan Daftar""","""Mga isyu sa mga buod ng nakalista""","""Có vấn đề với tóm tắt xe cho thuê"""
tags,1063,name,"""Cleaned and sanitized car""","""سيارة نظيفة ومعقمة""","""Mobil dibersihkan dan disanitasi""","""Malinis na kotse""","""Xe sạch và vệ sinh"""
tags,1064,name,"""On time car arrivals""","""وصول السيارة في الوقت المحدد""","""Kedatangan mobil tepat waktu""","""Hindi nahuli ang pagdating ng kotse""","""Xe đến đúng giờ"""
tags,1065,name,"""Excellent car condition""","""حالة السيارة ممتازة""","""Kondisi mobil istimewa""","""Mahusay na kondisyon ng kotse""","""Tình trạng xe xuất sắc"""
tags,1066,name,"""Earnings made""","""الأرباح المحققة""","""Penghasilan yang diperoleh""","""Kita na nagawa""","""Đã kiếm được tiền"""
tags,1067,name,"""Car status updates""","""تحديثات حالة السيارة""","""Pembaruan status mobil""","""Update sa estado ng kotse""","""Cập nhật trạng thái xe"""
tags,1068,name,"""Booking summary""","""ملخص الكتاب""","""Ringkasan pemesanan""","""Buod ng booking""","""Tóm tắt lượt đặt xe"""
tags,1069,name,"""Earnings""","""الأرباح""","""Pendapatan""","""Kita""","""Kiếm được"""
tags,1070,name,"""Charges levied""","""الرسوم المفروضة""","""dikenakan biaya""","""Singil na ipinataw""","""Các khoản phí phải trả"""
tags,1071,name,"""Timely car status updates""","""تحديثات حالة السيارة في الوقت المناسب""","""Pembaruan status mobil tepat waktu""","""Napapanahong update ng estado ng kotse""","""Cập nhật tình trạng xe kịp thời"""
tags,1072,name,"""Amount earned""","""المبلغ المكتسب""","""Jumlah yang diperoleh""","""Halagang kinita""","""Số tiền kiếm được"""
tags,1073,name,"""Transparency in booking summary""","""الشفافية في ملخص الحجز""","""Transparansi dalam ringkasan pemesanan""","""Pagiging tapat sa buod ng booking""","""Minh bạch trong tóm tắt đặt chỗ"""