model,primary_key,attr,ar,id,fil,vi
Offer,758,tnc,"<ul>
              <li>شارك كود الترشيح مع أصدقائك</li>
              <li>يقوم صديقك بزيارة <a href='https://www.zoomcar.com/eg/host/ar'>موقع برنامج ملاك زووم كار</a> ثم يقوم بالضغط على ابدأ رحلة المكسب </li>
              <li>يقوم صديقك بالتسجيل ثم يقوم بإدخال كود الترشيح أثناء ملء نموذج الإشتراك</li>\n              <li>تحصل انت و صديقك على مكافأة الترشيح بمجرد عرض السيارة على منصة ملاك زووم كار!</li>\n            </ul>\n            <h2>الشروط والأحكام</h2>\n            <ul><li>يجب إدخال كود الترشيح عند التسجيل بالبرنامج</li> <li>يصبح المستخدمون مؤهلين للمكافأة فقط بعد نجاح تسجيل السيارة على منصة زووم كار</li> <li>يكون المرشحين مؤهلين لمكافأة قدرها ١٥٠٠ جنيه، ويكون المترشحين مؤهلين لمكافأة قدرها ٢٥٠٠ جنيه عن كل عملية اشتراك ناجحة</li> <li>سيتم صرف مكافآت الإحالة وفقًا للجدول المذكور أدناه:\n        <table><thead><tr><th>المدة</th> <th>المرشح</th> <th>المترشح</th></tr></thead> <tbody><tr><td>الشهر الأول</td><td>٧٥٠ جنيه</td> <td>١٢٥٠ جنيه</td></tr> <tr><td>الشهر الثاني</td> <td>٧٥٠ جنيه</td> <td>١٢٥٠ جنيه</td></tr></tbody></table></li> <li>يتم تحويل المكافأة للمرشح و المترشح إلى حسابهم البنكي مع المدفوعات الأسبوعية</li> <li>يجب ألا تكون السيارة مسجلة بإسم المترشح و يجب أن تكون كل الأوراق اللازمة مجهزة و إلا لن يكون مؤهلا للمكافأة</li> <li>زووم كار تمتلك الحق في تعليق الحساب وإلغاء واسترداد جميع مكافآت الترشيح بأي وقت في حالة مخالفة العميل لشروط وأحكام الاتفاقية</li> <li>يتم حساب مبلغ المكافأة حسب السياسة المعمول بها وقت الترشيح و ليس حسب أي سياسة ماضية أو مستقبلية</li> <li>للحصول على المكافأة، يجب أن يقوم المترشح بعرض واحد على الأقل ناجح للسيارة كل شهر</li> <li>يمكن للمترشح الاستفادة فقط من مكافأة الترشيح ولن يكون مؤهلاً للحصول على مكافأة الترحيب</li></ul>",,,
Offer,758,app_tnc,"· يجب إدخال كود الترشيح عند التسجيل بالبرنامج

· يصبح المستخدمون مؤهلين للمكافأة فقط بعد نجاح تسجيل السيارة على منصة زووم كار\n\n· يكون المرشحين مؤهلي لمكافأة قدرها ١٥٠٠ جنيه ويكون المترشحين مؤهلين لمكافأة قدرها ٢٥٠٠ جنيه عن كل عملية اشتراك ناجحة

· يتم تحويل المكافأة على النحو التالي كما هو مذكور بالجدول أدناه

  المدة        المرشح         المترشح

  الشهر الأول        ٧٥٠ جنيه         ١٢٥٠ جنيه

  الشهر الثاني        ٧٥٠ جنيه         ١٢٥٠ جنيه

· يتم تحويل المكافأة للمرشح و المترشح إلى حسابهم البنكي مع المدفوعات الأسبوعية 

· يجب ألا تكون السيارة مسجلة بإسم المترشح و يجب أن تكون كل الأوراق اللازمة مجهزة و إلا لن يكون مؤهلا للمكافأة

· زووم كار تمتلك الحق في تعليق الحساب وإلغاء واسترداد جميع مكافآت الترشيح بأي وقت في حالة مخالفة العميل لشروط وأحكام الاتفاقية

· يتم حساب مبلغ المكافأة حسب السياسة المعمول بها وقت الترشيح و ليس حسب أي سياسة ماضية أو مستقبلية

· للحصول على المكافأة، يجب أن يقوم المترشح بعرض واحد على الأقل ناجح للسيارة كل شهر

· يمكن للمترشح الاستفادة فقط من مكافأة الترشيح ولن يكون مؤهلاً للحصول على مكافأة الترحيب
",,,